no change     /home/bsood/miniconda3/condabin/conda
no change     /home/bsood/miniconda3/bin/conda
no change     /home/bsood/miniconda3/bin/conda-env
no change     /home/bsood/miniconda3/bin/activate
no change     /home/bsood/miniconda3/bin/deactivate
no change     /home/bsood/miniconda3/etc/profile.d/conda.sh
no change     /home/bsood/miniconda3/etc/fish/conf.d/conda.fish
no change     /home/bsood/miniconda3/shell/condabin/Conda.psm1
no change     /home/bsood/miniconda3/shell/condabin/conda-hook.ps1
no change     /home/bsood/miniconda3/lib/python3.13/site-packages/xontrib/conda.xsh
no change     /home/bsood/miniconda3/etc/profile.d/conda.csh
no change     /home/bsood/.bashrc
No action taken.
Starting ChartQA Fine-Tuning
Using Projector Weights: /home/bsood/Multimodal-Machine-Learning-Project/outputs/v_large_lr_1_gpu/checkpoint-10465/projector.pt
Sat Mar 28 15:37:21 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 575.51.03              Driver Version: 575.51.03      CUDA Version: 12.9     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA RTX A6000               On  |   00000000:61:00.0 Off |                  Off |
| 30%   31C    P8             28W /  300W |       1MiB /  49140MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
DatasetDict({
    train: Dataset({
        features: ['image', 'query', 'label', 'human_or_machine', 'prompt', 'completion'],
        num_rows: 28299
    })
    eval: Dataset({
        features: ['image', 'query', 'label', 'human_or_machine', 'prompt', 'completion'],
        num_rows: 1920
    })
    test: Dataset({
        features: ['image', 'query', 'label', 'human_or_machine', 'prompt', 'completion'],
        num_rows: 2500
    })
})
{'image': <PIL.PngImagePlugin.PngImageFile image mode=RGB size=422x359 at 0x1489E77B3160>, 'query': 'Is the value of Favorable 38 in 2015?', 'label': ['Yes'], 'human_or_machine': 0, 'prompt': '<image>\nYou are a chart question-answering assistant. Respond with the final answer only, no explanations.\nQuestion: Is the value of Favorable 38 in 2015?\nAnswer:', 'completion': 'Yes'}
Loading Vision: google/siglip2-so400m-patch16-512
Loading LLM: Qwen/Qwen3-4B-Instruct-2507
Loading pre-trained projector weights from: /home/bsood/Multimodal-Machine-Learning-Project/outputs/v_large_lr_1_gpu/checkpoint-10465/projector.pt

==================================================
EXAMPLE PROMPT TO THE MODEL:
<|im_start|>user
<image>
You are a chart question-answering assistant. Respond with the final answer only, no explanations.
Question: Is the value of Favorable 38 in 2015?
Answer:<|im_end|>
<|im_start|>assistant
Yes<|im_end|>


EXAMPLE LABELS (What we calculate loss on):
Raw label IDs (ignoring -100): [9454, 151645, 198]
Decoded target text: 'Yes<|im_end|>
'
==================================================

Starting ChartQA Fine-tuning!
{'loss': 21.3009, 'grad_norm': 67.5, 'learning_rate': 3.3834586466165413e-06, 'epoch': 0.01}
{'loss': 3.3964, 'grad_norm': 17.75, 'learning_rate': 4.4039444410356906e-05, 'epoch': 0.79}
{'loss': 3.3529, 'grad_norm': 17.625, 'learning_rate': 4.383615020164621e-05, 'epoch': 0.8}
{'loss': 3.2506, 'grad_norm': 14.125, 'learning_rate': 4.362993321304924e-05, 'epoch': 0.81}
{'loss': 3.0872, 'grad_norm': 25.75, 'learning_rate': 4.342082544297652e-05, 'epoch': 0.83}
{'loss': 3.0704, 'grad_norm': 16.875, 'learning_rate': 4.320885933839718e-05, 'epoch': 0.84}
{'loss': 3.0943, 'grad_norm': 20.5, 'learning_rate': 4.299406778980427e-05, 'epoch': 0.85}
{'loss': 2.8404, 'grad_norm': 17.375, 'learning_rate': 4.277648412611114e-05, 'epoch': 0.86}
{'loss': 3.0672, 'grad_norm': 22.375, 'learning_rate': 4.255614210947985e-05, 'epoch': 0.87}
{'loss': 3.0341, 'grad_norm': 16.875, 'learning_rate': 4.233307593008235e-05, 'epoch': 0.88}
{'loss': 3.2419, 'grad_norm': 20.25, 'learning_rate': 4.2107320200795236e-05, 'epoch': 0.89}
{'loss': 2.803, 'grad_norm': 19.625, 'learning_rate': 4.187890995182893e-05, 'epoch': 0.9}
{'loss': 3.1955, 'grad_norm': 25.0, 'learning_rate': 4.164788062529203e-05, 'epoch': 0.92}
{'loss': 3.1488, 'grad_norm': 15.0625, 'learning_rate': 4.141426806969189e-05, 'epoch': 0.93}
{'loss': 2.9669, 'grad_norm': 14.9375, 'learning_rate': 4.1178108534372e-05, 'epoch': 0.94}
{'loss': 2.8599, 'grad_norm': 13.75, 'learning_rate': 4.093943866388723e-05, 'epoch': 0.95}
{'loss': 2.9713, 'grad_norm': 22.875, 'learning_rate': 4.069829549231777e-05, 'epoch': 0.96}
{'loss': 3.1742, 'grad_norm': 17.375, 'learning_rate': 4.045471643752258e-05, 'epoch': 0.97}
{'loss': 3.1201, 'grad_norm': 17.75, 'learning_rate': 4.020873929533331e-05, 'epoch': 0.98}
{'loss': 2.8529, 'grad_norm': 16.125, 'learning_rate': 3.99604022336896e-05, 'epoch': 0.99}
{'eval_loss': 0.8158529996871948, 'eval_runtime': 137.1078, 'eval_samples_per_second': 14.004, 'eval_steps_per_second': 1.75, 'epoch': 1.0}
{'loss': 2.6513, 'grad_norm': 17.0, 'learning_rate': 3.970974378671656e-05, 'epoch': 1.01}
{'loss': 2.7786, 'grad_norm': 26.375, 'learning_rate': 3.9456802848745536e-05, 'epoch': 1.02}
{'loss': 2.7418, 'grad_norm': 15.3125, 'learning_rate': 3.920161866827889e-05, 'epoch': 1.03}
{'loss': 2.7036, 'grad_norm': 18.625, 'learning_rate': 3.894423084189993e-05, 'epoch': 1.04}
{'loss': 2.6566, 'grad_norm': 20.75, 'learning_rate': 3.868467930812864e-05, 'epoch': 1.05}
{'loss': 2.6143, 'grad_norm': 23.125, 'learning_rate': 3.84230043412246e-05, 'epoch': 1.06}
{'loss': 2.5098, 'grad_norm': 12.3125, 'learning_rate': 3.8159246544937594e-05, 'epoch': 1.07}
{'loss': 2.5948, 'grad_norm': 19.0, 'learning_rate': 3.789344684620725e-05, 'epoch': 1.08}
{'loss': 2.42, 'grad_norm': 18.0, 'learning_rate': 3.7625646488812414e-05, 'epoch': 1.1}
{'loss': 2.5636, 'grad_norm': 21.125, 'learning_rate': 3.7355887026971417e-05, 'epoch': 1.11}
{'loss': 2.1758, 'grad_norm': 18.625, 'learning_rate': 3.7084210318894176e-05, 'epoch': 1.12}
{'loss': 2.6029, 'grad_norm': 24.0, 'learning_rate': 3.68106585202871e-05, 'epoch': 1.13}
{'loss': 2.554, 'grad_norm': 18.625, 'learning_rate': 3.65352740778119e-05, 'epoch': 1.14}
{'loss': 2.697, 'grad_norm': 16.25, 'learning_rate': 3.625809972249906e-05, 'epoch': 1.15}
{'loss': 2.6695, 'grad_norm': 17.75, 'learning_rate': 3.59791784631175e-05, 'epoch': 1.16}
{'loss': 2.9052, 'grad_norm': 20.5, 'learning_rate': 3.569855357950084e-05, 'epoch': 1.18}
{'loss': 2.5464, 'grad_norm': 15.9375, 'learning_rate': 3.541626861583174e-05, 'epoch': 1.19}
{'loss': 2.7902, 'grad_norm': 21.0, 'learning_rate': 3.513236737388527e-05, 'epoch': 1.2}
{'loss': 2.6805, 'grad_norm': 21.125, 'learning_rate': 3.484689390623218e-05, 'epoch': 1.21}
{'loss': 2.7066, 'grad_norm': 13.5625, 'learning_rate': 3.455989250940338e-05, 'epoch': 1.22}
{'loss': 2.8255, 'grad_norm': 15.875, 'learning_rate': 3.427140771701646e-05, 'epoch': 1.23}
{'loss': 2.6829, 'grad_norm': 21.5, 'learning_rate': 3.3981484292865466e-05, 'epoch': 1.24}
{'loss': 2.7731, 'grad_norm': 16.875, 'learning_rate': 3.369016722397504e-05, 'epoch': 1.25}
{'loss': 2.8828, 'grad_norm': 19.125, 'learning_rate': 3.339750171361973e-05, 'epoch': 1.27}
{'loss': 2.4826, 'grad_norm': 17.625, 'learning_rate': 3.3103533174309964e-05, 'epoch': 1.28}
{'loss': 2.5892, 'grad_norm': 23.875, 'learning_rate': 3.280830722074536e-05, 'epoch': 1.29}
{'loss': 2.4419, 'grad_norm': 17.5, 'learning_rate': 3.251186966273685e-05, 'epoch': 1.3}
{'loss': 2.6583, 'grad_norm': 17.0, 'learning_rate': 3.2214266498098356e-05, 'epoch': 1.31}
{'loss': 2.5942, 'grad_norm': 12.9375, 'learning_rate': 3.19155439055094e-05, 'epoch': 1.32}
{'loss': 2.6376, 'grad_norm': 14.625, 'learning_rate': 3.1615748237349624e-05, 'epoch': 1.33}
{'loss': 2.2286, 'grad_norm': 17.75, 'learning_rate': 3.131492601250636e-05, 'epoch': 1.34}
{'loss': 2.5775, 'grad_norm': 14.4375, 'learning_rate': 3.101312390915634e-05, 'epoch': 1.36}
{'loss': 2.5427, 'grad_norm': 19.625, 'learning_rate': 3.0710388757522724e-05, 'epoch': 1.37}
{'loss': 2.5021, 'grad_norm': 21.625, 'learning_rate': 3.0406767532608494e-05, 'epoch': 1.38}
{'loss': 2.6584, 'grad_norm': 19.75, 'learning_rate': 3.0102307346907443e-05, 'epoch': 1.39}
{'loss': 2.3899, 'grad_norm': 18.5, 'learning_rate': 2.979705544309374e-05, 'epoch': 1.4}
{'loss': 2.5398, 'grad_norm': 22.0, 'learning_rate': 2.9491059186691416e-05, 'epoch': 1.41}
{'loss': 2.4868, 'grad_norm': 19.625, 'learning_rate': 2.9184366058724654e-05, 'epoch': 1.42}
{'loss': 2.436, 'grad_norm': 20.75, 'learning_rate': 2.887702364835028e-05, 'epoch': 1.44}
{'loss': 2.5376, 'grad_norm': 22.875, 'learning_rate': 2.8569079645473366e-05, 'epoch': 1.45}
{'loss': 2.5003, 'grad_norm': 21.0, 'learning_rate': 2.82605818333473e-05, 'epoch': 1.46}
{'loss': 2.5366, 'grad_norm': 23.75, 'learning_rate': 2.795157808115927e-05, 'epoch': 1.47}
{'loss': 2.9422, 'grad_norm': 14.4375, 'learning_rate': 2.764211633660252e-05, 'epoch': 1.48}
{'loss': 2.4702, 'grad_norm': 19.25, 'learning_rate': 2.7332244618436352e-05, 'epoch': 1.49}
{'loss': 2.5612, 'grad_norm': 22.25, 'learning_rate': 2.7022011009035107e-05, 'epoch': 1.5}
{'loss': 2.6099, 'grad_norm': 19.75, 'learning_rate': 2.6711463646927294e-05, 'epoch': 1.51}
{'loss': 2.6788, 'grad_norm': 17.0, 'learning_rate': 2.6400650719326013e-05, 'epoch': 1.53}
{'loss': 2.3897, 'grad_norm': 24.0, 'learning_rate': 2.608962045465181e-05, 'epoch': 1.54}
{'loss': 2.4715, 'grad_norm': 21.5, 'learning_rate': 2.57784211150491e-05, 'epoch': 1.55}
{'loss': 2.643, 'grad_norm': 19.75, 'learning_rate': 2.5467100988897456e-05, 'epoch': 1.56}
{'loss': 2.5458, 'grad_norm': 18.75, 'learning_rate': 2.515570838331873e-05, 'epoch': 1.57}
{'loss': 2.6488, 'grad_norm': 17.875, 'learning_rate': 2.484429161668128e-05, 'epoch': 1.58}
{'loss': 2.6163, 'grad_norm': 15.5625, 'learning_rate': 2.453289901110255e-05, 'epoch': 1.59}
{'loss': 2.4622, 'grad_norm': 17.75, 'learning_rate': 2.4221578884950904e-05, 'epoch': 1.6}
{'loss': 2.4738, 'grad_norm': 14.875, 'learning_rate': 2.39103795453482e-05, 'epoch': 1.62}
{'loss': 2.3069, 'grad_norm': 21.375, 'learning_rate': 2.3599349280673986e-05, 'epoch': 1.63}
{'loss': 2.558, 'grad_norm': 18.75, 'learning_rate': 2.3288536353072705e-05, 'epoch': 1.64}
{'loss': 2.4497, 'grad_norm': 17.625, 'learning_rate': 2.29779889909649e-05, 'epoch': 1.65}
{'loss': 2.4463, 'grad_norm': 18.125, 'learning_rate': 2.266775538156365e-05, 'epoch': 1.66}
{'loss': 2.665, 'grad_norm': 15.875, 'learning_rate': 2.2357883663397487e-05, 'epoch': 1.67}
{'loss': 2.5302, 'grad_norm': 23.5, 'learning_rate': 2.204842191884074e-05, 'epoch': 1.68}
{'loss': 2.3368, 'grad_norm': 16.25, 'learning_rate': 2.1739418166652712e-05, 'epoch': 1.7}
{'loss': 2.5187, 'grad_norm': 23.375, 'learning_rate': 2.1430920354526636e-05, 'epoch': 1.71}
{'loss': 2.503, 'grad_norm': 16.375, 'learning_rate': 2.1122976351649718e-05, 'epoch': 1.72}
{'loss': 2.3963, 'grad_norm': 22.5, 'learning_rate': 2.0815633941275345e-05, 'epoch': 1.73}
{'loss': 2.6023, 'grad_norm': 18.0, 'learning_rate': 2.0508940813308587e-05, 'epoch': 1.74}
{'loss': 2.224, 'grad_norm': 15.0625, 'learning_rate': 2.0202944556906263e-05, 'epoch': 1.75}
{'loss': 2.4215, 'grad_norm': 16.25, 'learning_rate': 1.9897692653092566e-05, 'epoch': 1.76}
{'loss': 2.4945, 'grad_norm': 19.875, 'learning_rate': 1.9593232467391508e-05, 'epoch': 1.77}
{'loss': 2.7853, 'grad_norm': 21.75, 'learning_rate': 1.9289611242477285e-05, 'epoch': 1.79}
{'loss': 2.5506, 'grad_norm': 21.0, 'learning_rate': 1.8986876090843667e-05, 'epoch': 1.8}
{'loss': 2.6239, 'grad_norm': 19.75, 'learning_rate': 1.868507398749364e-05, 'epoch': 1.81}
{'loss': 2.3894, 'grad_norm': 15.375, 'learning_rate': 1.8384251762650385e-05, 'epoch': 1.82}
{'loss': 2.3946, 'grad_norm': 14.3125, 'learning_rate': 1.8084456094490607e-05, 'epoch': 1.83}
{'loss': 2.7648, 'grad_norm': 17.5, 'learning_rate': 1.7785733501901653e-05, 'epoch': 1.84}
{'loss': 2.4648, 'grad_norm': 22.5, 'learning_rate': 1.7488130337263154e-05, 'epoch': 1.85}
{'loss': 2.6165, 'grad_norm': 18.0, 'learning_rate': 1.7191692779254646e-05, 'epoch': 1.86}
{'loss': 2.2712, 'grad_norm': 16.375, 'learning_rate': 1.6896466825690048e-05, 'epoch': 1.88}
{'loss': 2.5221, 'grad_norm': 20.75, 'learning_rate': 1.6602498286380278e-05, 'epoch': 1.89}
{'loss': 2.5264, 'grad_norm': 19.125, 'learning_rate': 1.6309832776024964e-05, 'epoch': 1.9}
{'loss': 2.6526, 'grad_norm': 16.75, 'learning_rate': 1.601851570713453e-05, 'epoch': 1.91}
{'loss': 2.4674, 'grad_norm': 20.375, 'learning_rate': 1.5728592282983552e-05, 'epoch': 1.92}
{'loss': 2.7239, 'grad_norm': 16.625, 'learning_rate': 1.544010749059662e-05, 'epoch': 1.93}
{'loss': 2.2514, 'grad_norm': 16.25, 'learning_rate': 1.5153106093767827e-05, 'epoch': 1.94}
{'loss': 2.3763, 'grad_norm': 13.75, 'learning_rate': 1.4867632626114741e-05, 'epoch': 1.96}
{'loss': 2.5529, 'grad_norm': 20.25, 'learning_rate': 1.4583731384168275e-05, 'epoch': 1.97}
{'loss': 2.4683, 'grad_norm': 14.75, 'learning_rate': 1.4301446420499165e-05, 'epoch': 1.98}
{'loss': 2.4916, 'grad_norm': 19.5, 'learning_rate': 1.4020821536882503e-05, 'epoch': 1.99}
{'loss': 2.5368, 'grad_norm': 14.4375, 'learning_rate': 1.3741900277500941e-05, 'epoch': 2.0}
{'eval_loss': 0.7670082449913025, 'eval_runtime': 137.5967, 'eval_samples_per_second': 13.954, 'eval_steps_per_second': 1.744, 'epoch': 2.0}
{'loss': 2.1221, 'grad_norm': 22.25, 'learning_rate': 1.3464725922188109e-05, 'epoch': 2.01}
{'loss': 2.3289, 'grad_norm': 17.875, 'learning_rate': 1.3189341479712891e-05, 'epoch': 2.02}
{'loss': 2.4062, 'grad_norm': 19.375, 'learning_rate': 1.291578968110584e-05, 'epoch': 2.03}
{'loss': 2.1799, 'grad_norm': 19.25, 'learning_rate': 1.2644112973028593e-05, 'epoch': 2.05}
{'loss': 2.1873, 'grad_norm': 17.125, 'learning_rate': 1.2374353511187592e-05, 'epoch': 2.06}
{'loss': 2.2684, 'grad_norm': 20.875, 'learning_rate': 1.2106553153792748e-05, 'epoch': 2.07}
{'loss': 2.1137, 'grad_norm': 18.75, 'learning_rate': 1.1840753455062406e-05, 'epoch': 2.08}
{'loss': 2.2427, 'grad_norm': 19.375, 'learning_rate': 1.1576995658775405e-05, 'epoch': 2.09}
{'loss': 2.029, 'grad_norm': 18.75, 'learning_rate': 1.131532069187136e-05, 'epoch': 2.1}
{'loss': 1.9868, 'grad_norm': 14.8125, 'learning_rate': 1.1055769158100079e-05, 'epoch': 2.11}
